"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWE00000FWt1RYAT","false","SC-000022062","a0qWE00000USgnNYAT","1.01","LLC_BI__UI_Loan_Information","","","","false","","","","","false","000010C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWE00000FWt1SYAT","false","SC-000022063","a0qWE00000USgnOYAT","1.01","","","","","false","","","","","false","000012C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWE00000FWswzYAD","false","SC-000022280","a0qWE00000USgnOYAT","2.02","LLC_BI__UI_Entity_Involvement_Fieldset","","","","false","a0vWE00000FWt1SYAT","LLC_BI__Legal_Entities__r","","","false","000013C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Legal_Entities__c"
"a0vWE00000FWt1TYAT","false","SC-000022064","a0qWE00000USgnPYAT","1.01","","","","","false","","","","","false","000015C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWE00000FSMDXYA5","false","SC-000020158","a0qWE00000UNVkTYAX","1.01","","","a0bWE000001e5reYAA","0.0","false","","","","","false","00001602764632534","LLC_BI__Loan__c"
"a0vWE00000FWsx0YAD","false","SC-000022281","a0qWE00000USgnPYAT","2.02","LLC_BI__Manage_Fees","","","","false","a0vWE00000FWt1TYAT","LLC_BI__Fees__r","","","false","000016C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Fee__c"
"a0vWE00000FWt1UYAT","false","SC-000022065","a0qWE00000USgnQYAT","1.01","","","","","false","","","","","false","000018C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWE00000FWsx1YAD","false","SC-000022282","a0qWE00000USgnQYAT","2.02","ATBK__LoanCollateral2_ReviewSubmit","","","","false","a0vWE00000FWt1UYAT","LLC_BI__Loan_Collateral__r","","","false","000019C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan_Collateral2__c"
"a0vWE00000FWt1VYAT","false","SC-000022066","a0qWE00000USgnRYAT","1.01","","","","","false","","","","","false","000021C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
"a0vWE00000FWsx2YAD","false","SC-000022283","a0qWE00000USgnRYAT","2.02","ATBK__LoanCovenant_ReviewSubmit","","","","false","a0vWE00000FWt1VYAT","LLC_BI__Loan_Covenants__r","","","false","000022C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan_Covenant__c"
"a0vWE00000FWt4CYAT","false","SC-000022133","a0qWE00000USgnSYAT","1.01","","","","","false","","","","","false","000024C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c"
